#{"t_start": 1732000331.3860083, "env_id": "MRL_env-v0"}
r,l,t
206.0,136,7.203031
-426.1,181,17.026792
-282.0,123,23.774296
196.0,180,33.653315
170.0,209,45.119051
119.0,207,56.403165
-284.0,205,67.758847
-365.0,102,73.380702
-533.5,118,79.949885
-81.0,207,91.441271
-170.9,191,102.131277
-118.0,207,114.256124
-197.0,207,126.857811
-20.0,204,139.487912
-353.5,104,145.781812
556.7,153,155.066703
22.5,137,163.225364
-196.0,205,175.35428
-189.0,206,186.766796
-387.0,206,198.112721
-86.6,199,208.782758
1.5,186,218.883485
-392.0,42,221.13178
194.0,207,232.318626
-134.0,207,243.517806
-66.0,205,254.758351
-80.2,205,265.761846
-54.2,200,276.557048
-43.0,207,287.879613
279.5,140,295.378022
-7.0,203,306.435681
-401.0,126,313.27991
-382.5,53,316.112681
-147.0,206,327.202135
-208.5,90,332.00981
20.9,191,342.557679
113.5,197,353.239487
-214.0,204,364.487134
-176.0,204,375.62608
-232.0,204,386.702987
568.7,176,396.017582
196.0,207,407.181223
301.9,119,413.665969
-22.5,201,424.517326
-2.6,183,434.514632
-324.0,96,439.663488
300.5,201,450.582292
-84.0,93,455.61274
179.1,193,465.992303
250.4,188,476.15957
-34.0,206,487.286979
-332.5,102,492.846313
98.0,206,503.92506
508.9,184,513.730913
-515.5,156,522.166448
-332.5,77,526.368581
153.0,152,534.624793
-427.7,175,544.004884
382.9,134,551.310755
357.4,182,561.068007
-522.5,56,564.153945
-524.5,193,574.650541
-391.0,46,577.076822
115.3,190,587.327365
22.0,208,598.482171
137.3,161,607.223571
432.1,147,615.140734
-387.5,135,622.49479
-206.0,206,633.741931
172.0,151,641.893999
174.9,192,652.356362
202.9,111,658.327946
-180.5,38,660.304595
261.9,197,670.898152
-70.0,206,682.045117
185.9,205,693.15424
-133.0,209,704.312809
32.0,205,715.552501
-148.0,206,726.673858
-318.0,207,737.766111
-356.0,61,740.930833
138.0,206,752.106525
82.0,207,763.27607
247.5,181,772.974387
-345.0,207,784.266333
167.9,142,791.828803
-126.0,207,803.012961
-103.0,206,814.262824
393.9,155,822.736862
381.4,158,831.268036
-317.0,37,833.261215
-114.0,208,844.484726
163.8,183,854.293493
41.8,162,862.986365
231.0,190,873.345877
-48.6,158,881.887608
235.3,186,892.034583
3.0,208,903.197429
-163.5,74,907.089126
42.0,208,918.203382
114.4,151,926.392615
354.5,151,934.544685
-434.5,33,936.30707
-215.0,85,940.880104
29.0,178,950.434107
388.0,208,961.646797
182.0,207,972.83326
208.4,153,981.175144
-251.0,205,992.339374
61.0,206,1003.586331
-91.0,204,1014.704111
-147.0,205,1025.889387
